CountryName,CategoryName,CategoryTotal
Boliia (Plurinational    State of),Birth registration (%)+ 2005–2012* total,76
Boliia (Plurinational    State of),Justification of wife beating (%)  2005–2012* female,16
Bosnia and Herzegoina,Child labour (%)+ 2005–2012* total,5
Bosnia and Herzegoina,Child labour (%)+ 2005–2012* male,7
Bosnia and Herzegoina,Child labour (%)+ 2005–2012* female,4
Bosnia and Herzegoina,Child marriage (%) 2005–2012* married by 18,4
Bosnia and Herzegoina,Birth registration (%)+ 2005–2012* total,100
Bosnia and Herzegoina,Justification of wife beating (%)  2005–2012* male,6
Bosnia and Herzegoina,Justification of wife beating (%)  2005–2012* female,5
Bosnia and Herzegoina,Violent discipline (%)+ 2005–2012* total,55
Bosnia and Herzegoina,Violent discipline (%)+ 2005–2012* male,60
Bosnia and Herzegoina,Violent discipline (%)+ 2005–2012* female,50
Botswana,Child labour (%)+ 2005–2012* total,9
Botswana,Child labour (%)+ 2005–2012* male,11
Botswana,Child labour (%)+ 2005–2012* female,7
Botswana,Birth registration (%)+ 2005–2012* total,72
Brazil,Child labour (%)+ 2005–2012* total,9
Brazil,Child labour (%)+ 2005–2012* male,11
Brazil,Child labour (%)+ 2005–2012* female,6
Brazil,Child marriage (%) 2005–2012* married by 15,11
Brazil,Child marriage (%) 2005–2012* married by 18,36
Brazil,Birth registration (%)+ 2005–2012* total,93
Bulgaria,Birth registration (%)+ 2005–2012* total,100
Burkina Faso,Child labour (%)+ 2005–2012* total,39
Burkina Faso,Child labour (%)+ 2005–2012* male,42
Burkina Faso,Child labour (%)+ 2005–2012* female,36
Burkina Faso,Child marriage (%) 2005–2012* married by 15,10
Burkina Faso,Child marriage (%) 2005–2012* married by 18,52
Burkina Faso,Birth registration (%)+ 2005–2012* total,77
Burkina Faso,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,76
Burkina Faso,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,13
Burkina Faso,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,9
Burkina Faso,Justification of wife beating (%)  2005–2012* male,34
Burkina Faso,Justification of wife beating (%)  2005–2012* female,44
Burkina Faso,Violent discipline (%)+ 2005–2012* total,83
Burkina Faso,Violent discipline (%)+ 2005–2012* male,84
Burkina Faso,Violent discipline (%)+ 2005–2012* female,82
Burundi,Child labour (%)+ 2005–2012* total,26
Burundi,Child labour (%)+ 2005–2012* male,26
Burundi,Child labour (%)+ 2005–2012* female,27
Burundi,Child marriage (%) 2005–2012* married by 15,3
Burundi,Child marriage (%) 2005–2012* married by 18,20
Burundi,Birth registration (%)+ 2005–2012* total,75
Burundi,Justification of wife beating (%)  2005–2012* male,44
Burundi,Justification of wife beating (%)  2005–2012* female,73
Cabo Verde,Child labour (%)+ 2005–2012* total,3
Cabo Verde,Child labour (%)+ 2005–2012* male,4
Cabo Verde,Child labour (%)+ 2005–2012* female,3
Cabo Verde,Child marriage (%) 2005–2012* married by 15,3
Cabo Verde,Child marriage (%) 2005–2012* married by 18,18
Cabo Verde,Birth registration (%)+ 2005–2012* total,91
Cabo Verde,Justification of wife beating (%)  2005–2012* male,16
Cabo Verde,Justification of wife beating (%)  2005–2012* female,17
Cambodia,Child labour (%)+ 2005–2012* total,36
Cambodia,Child labour (%)+ 2005–2012* male,36
Cambodia,Child labour (%)+ 2005–2012* female,36
Cambodia,Child marriage (%) 2005–2012* married by 15,2
Cambodia,Child marriage (%) 2005–2012* married by 18,18
Cambodia,Birth registration (%)+ 2005–2012* total,62
Cambodia,Justification of wife beating (%)  2005–2012* male,22
Cambodia,Justification of wife beating (%)  2005–2012* female,46
Cameroon,Child labour (%)+ 2005–2012* total,42
Cameroon,Child labour (%)+ 2005–2012* male,43
Cameroon,Child labour (%)+ 2005–2012* female,40
Cameroon,Child marriage (%) 2005–2012* married by 15,13
Cameroon,Child marriage (%) 2005–2012* married by 18,38
Cameroon,Birth registration (%)+ 2005–2012* total,61
Cameroon,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,1
Cameroon,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,1
Cameroon,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,7
Cameroon,Justification of wife beating (%)  2005–2012* male,39
Cameroon,Justification of wife beating (%)  2005–2012* female,47
Cameroon,Violent discipline (%)+ 2005–2012* total,93
Cameroon,Violent discipline (%)+ 2005–2012* male,93
Cameroon,Violent discipline (%)+ 2005–2012* female,93
Canada,Birth registration (%)+ 2005–2012* total,100
Central African Republic,Child labour (%)+ 2005–2012* total,29
Central African Republic,Child labour (%)+ 2005–2012* male,27
Central African Republic,Child labour (%)+ 2005–2012* female,30
Central African Republic,Child marriage (%) 2005–2012* married by 15,29
Central African Republic,Child marriage (%) 2005–2012* married by 18,68
Central African Republic,Birth registration (%)+ 2005–2012* total,61
Central African Republic,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,24
Central African Republic,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,1
Central African Republic,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,11
Central African Republic,Justification of wife beating (%)  2005–2012* male,80
Central African Republic,Justification of wife beating (%)  2005–2012* female,80
Central African Republic,Violent discipline (%)+ 2005–2012* total,92
Central African Republic,Violent discipline (%)+ 2005–2012* male,92
Central African Republic,Violent discipline (%)+ 2005–2012* female,92
Chad,Child labour (%)+ 2005–2012* total,26
Chad,Child labour (%)+ 2005–2012* male,25
Chad,Child labour (%)+ 2005–2012* female,28
Chad,Child marriage (%) 2005–2012* married by 15,29
Chad,Child marriage (%) 2005–2012* married by 18,68
Chad,Birth registration (%)+ 2005–2012* total,16
Chad,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,44
Chad,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,18
Chad,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,38
Chad,Justification of wife beating (%)  2005–2012* female,62
Chad,Violent discipline (%)+ 2005–2012* total,84
Chad,Violent discipline (%)+ 2005–2012* male,85
Chad,Violent discipline (%)+ 2005–2012* female,84
Chile,Child labour (%)+ 2005–2012* total,3
Chile,Child labour (%)+ 2005–2012* male,3
Chile,Child labour (%)+ 2005–2012* female,2
Chile,Birth registration (%)+ 2005–2012* total,100
Colombia,Child labour (%)+ 2005–2012* total,13
Colombia,Child labour (%)+ 2005–2012* male,17
Colombia,Child labour (%)+ 2005–2012* female,9
Colombia,Child marriage (%) 2005–2012* married by 15,6
Colombia,Child marriage (%) 2005–2012* married by 18,23
Colombia,Birth registration (%)+ 2005–2012* total,97
Comoros,Child labour (%)+ 2005–2012* total,27
Comoros,Child labour (%)+ 2005–2012* male,26
Comoros,Child labour (%)+ 2005–2012* female,28
Comoros,Birth registration (%)+ 2005–2012* total,88
Congo,Child labour (%)+ 2005–2012* total,25
Congo,Child labour (%)+ 2005–2012* male,24
Congo,Child labour (%)+ 2005–2012* female,25
Congo,Child marriage (%) 2005–2012* married by 15,7
Congo,Child marriage (%) 2005–2012* married by 18,33
Congo,Birth registration (%)+ 2005–2012* total,91
Congo,Justification of wife beating (%)  2005–2012* female,76
Costa Rica,Child labour (%)+ 2005–2012* total,5
Costa Rica,Child labour (%)+ 2005–2012* male,6
Costa Rica,Child labour (%)+ 2005–2012* female,3
Côte d’Ioire,Child labour (%)+ 2005–2012* total,26
Côte d’Ioire,Child labour (%)+ 2005–2012* male,25
Côte d’Ioire,Child labour (%)+ 2005–2012* female,28
Côte d’Ioire,Child marriage (%) 2005–2012* married by 15,10
Côte d’Ioire,Child marriage (%) 2005–2012* married by 18,33
Côte d’Ioire,Birth registration (%)+ 2005–2012* total,65
Côte d’Ioire,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,38
Côte d’Ioire,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,10
Côte d’Ioire,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,14
Côte d’Ioire,Justification of wife beating (%)  2005–2012* male,42
Côte d’Ioire,Justification of wife beating (%)  2005–2012* female,48
Côte d’Ioire,Violent discipline (%)+ 2005–2012* total,91
Côte d’Ioire,Violent discipline (%)+ 2005–2012* male,91
Côte d’Ioire,Violent discipline (%)+ 2005–2012* female,91
Cuba,Child marriage (%) 2005–2012* married by 15,9
Cuba,Child marriage (%) 2005–2012* married by 18,40
Cuba,Birth registration (%)+ 2005–2012* total,100
Cprus,Birth registration (%)+ 2005–2012* total,100
Czech Republic,Birth registration (%)+ 2005–2012* total,100
Democratic People’s    Republic of Korea,Birth registration (%)+ 2005–2012* total,100
Democratic Republic    of the Congo,Child labour (%)+ 2005–2012* total,15
Democratic Republic    of the Congo,Child labour (%)+ 2005–2012* male,13
Democratic Republic    of the Congo,Child labour (%)+ 2005–2012* female,17
Democratic Republic    of the Congo,Child marriage (%) 2005–2012* married by 15,9
Democratic Republic    of the Congo,Child marriage (%) 2005–2012* married by 18,39
Democratic Republic    of the Congo,Birth registration (%)+ 2005–2012* total,28
Democratic Republic    of the Congo,Justification of wife beating (%)  2005–2012* female,76
Democratic Republic    of the Congo,Violent discipline (%)+ 2005–2012* total,92
Democratic Republic    of the Congo,Violent discipline (%)+ 2005–2012* male,92
Democratic Republic    of the Congo,Violent discipline (%)+ 2005–2012* female,91
Denmark,Birth registration (%)+ 2005–2012* total,100
Djibouti,Child labour (%)+ 2005–2012* total,8
Djibouti,Child labour (%)+ 2005–2012* male,8
Djibouti,Child labour (%)+ 2005–2012* female,8
Djibouti,Child marriage (%) 2005–2012* married by 15,2
Djibouti,Child marriage (%) 2005–2012* married by 18,5
Djibouti,Birth registration (%)+ 2005–2012* total,92
Djibouti,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,93
Djibouti,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,49
Djibouti,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,37
Djibouti,Violent discipline (%)+ 2005–2012* total,72
Djibouti,Violent discipline (%)+ 2005–2012* male,73
Djibouti,Violent discipline (%)+ 2005–2012* female,71
Dominican Republic,Child labour (%)+ 2005–2012* total,13
Dominican Republic,Child labour (%)+ 2005–2012* male,18
Dominican Republic,Child labour (%)+ 2005–2012* female,8
Dominican Republic,Child marriage (%) 2005–2012* married by 15,12
Dominican Republic,Child marriage (%) 2005–2012* married by 18,41
Dominican Republic,Birth registration (%)+ 2005–2012* total,82
Dominican Republic,Justification of wife beating (%)  2005–2012* female,4
Dominican Republic,Violent discipline (%)+ 2005–2012* total,67
Dominican Republic,Violent discipline (%)+ 2005–2012* male,69
Dominican Republic,Violent discipline (%)+ 2005–2012* female,65
Ecuador,Child labour (%)+ 2005–2012* total,8
Ecuador,Child labour (%)+ 2005–2012* male,7
Ecuador,Child labour (%)+ 2005–2012* female,8
Ecuador,Child marriage (%) 2005–2012* married by 15,4
Ecuador,Child marriage (%) 2005–2012* married by 18,22
Ecuador,Birth registration (%)+ 2005–2012* total,90
Egpt,Child labour (%)+ 2005–2012* total,9
Egpt,Child labour (%)+ 2005–2012* male,14
Egpt,Child labour (%)+ 2005–2012* female,4
Egpt,Child marriage (%) 2005–2012* married by 15,2
Egpt,Child marriage (%) 2005–2012* married by 18,17
Egpt,Birth registration (%)+ 2005–2012* total,99
Egpt,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,91
Egpt,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,17
Egpt,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,54
Egpt,Justification of wife beating (%)  2005–2012* female,39
Egpt,Violent discipline (%)+ 2005–2012* total,91
Egpt,Violent discipline (%)+ 2005–2012* male,92
Egpt,Violent discipline (%)+ 2005–2012* female,90
El Salador,Child labour (%)+ 2005–2012* total,10
El Salador,Child marriage (%) 2005–2012* married by 15,5
El Salador,Child marriage (%) 2005–2012* married by 18,25
El Salador,Birth registration (%)+ 2005–2012* total,99
Equatorial Guinea,Child labour (%)+ 2005–2012* total,28
Equatorial Guinea,Child labour (%)+ 2005–2012* male,28
Equatorial Guinea,Child labour (%)+ 2005–2012* female,28
Equatorial Guinea,Birth registration (%)+ 2005–2012* total,37
Eritrea,Child marriage (%) 2005–2012* married by 15,20
Eritrea,Child marriage (%) 2005–2012* married by 18,47
Eritrea,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,89
Eritrea,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,63
Eritrea,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,49
Eritrea,Justification of wife beating (%)  2005–2012* female,71
Estonia,Birth registration (%)+ 2005–2012* total,100
Ethiopia,Child labour (%)+ 2005–2012* total,27
Ethiopia,Child labour (%)+ 2005–2012* male,31
Ethiopia,Child labour (%)+ 2005–2012* female,24
Ethiopia,Child marriage (%) 2005–2012* married by 15,16
Ethiopia,Child marriage (%) 2005–2012* married by 18,41
Ethiopia,Birth registration (%)+ 2005–2012* total,7
Ethiopia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,74
Ethiopia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,24
Ethiopia,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,31
Ethiopia,Justification of wife beating (%)  2005–2012* male,45
Ethiopia,Justification of wife beating (%)  2005–2012* female,68
Fiji,Violent discipline (%)+ 2005–2012* total,72
Finland,Birth registration (%)+ 2005–2012* total,100
France,Birth registration (%)+ 2005–2012* total,100
Gabon,Child labour (%)+ 2005–2012* total,13
Gabon,Child labour (%)+ 2005–2012* male,15
Gabon,Child labour (%)+ 2005–2012* female,12
Gabon,Child marriage (%) 2005–2012* married by 15,6
Gabon,Child marriage (%) 2005–2012* married by 18,22
Gabon,Birth registration (%)+ 2005–2012* total,90
Gabon,Justification of wife beating (%)  2005–2012* male,40
Gabon,Justification of wife beating (%)  2005–2012* female,50
Gambia,Child labour (%)+ 2005–2012* total,19
Gambia,Child labour (%)+ 2005–2012* male,21
Gambia,Child labour (%)+ 2005–2012* female,18
Gambia,Child marriage (%) 2005–2012* married by 15,7
Gambia,Child marriage (%) 2005–2012* married by 18,36
Gambia,Birth registration (%)+ 2005–2012* total,53
Gambia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,76
Gambia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,56
Gambia,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,64
Gambia,Justification of wife beating (%)  2005–2012* female,75
Gambia,Violent discipline (%)+ 2005–2012* total,90
Gambia,Violent discipline (%)+ 2005–2012* male,90
Gambia,Violent discipline (%)+ 2005–2012* female,91
Georgia,Child labour (%)+ 2005–2012* total,18
Georgia,Child labour (%)+ 2005–2012* male,20
Georgia,Child labour (%)+ 2005–2012* female,17
Georgia,Child marriage (%) 2005–2012* married by 15,1
Georgia,Child marriage (%) 2005–2012* married by 18,14
Georgia,Birth registration (%)+ 2005–2012* total,99
Georgia,Justification of wife beating (%)  2005–2012* female,7
Georgia,Violent discipline (%)+ 2005–2012* total,67
Georgia,Violent discipline (%)+ 2005–2012* male,70
Georgia,Violent discipline (%)+ 2005–2012* female,63
German,Birth registration (%)+ 2005–2012* total,100
Ghana,Child labour (%)+ 2005–2012* total,34
Ghana,Child labour (%)+ 2005–2012* male,34
Ghana,Child labour (%)+ 2005–2012* female,34
Ghana,Child marriage (%) 2005–2012* married by 15,5
Ghana,Child marriage (%) 2005–2012* married by 18,21
Ghana,Birth registration (%)+ 2005–2012* total,63
Ghana,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,4
Ghana,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,1
Ghana,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,2
Ghana,Justification of wife beating (%)  2005–2012* male,26
Ghana,Justification of wife beating (%)  2005–2012* female,44
Ghana,Violent discipline (%)+ 2005–2012* total,94
Ghana,Violent discipline (%)+ 2005–2012* male,94
Ghana,Violent discipline (%)+ 2005–2012* female,94
Greece,Birth registration (%)+ 2005–2012* total,100
Guatemala,Child labour (%)+ 2005–2012* total,26
Guatemala,Child labour (%)+ 2005–2012* male,35
Guatemala,Child labour (%)+ 2005–2012* female,16
Guatemala,Child marriage (%) 2005–2012* married by 15,7
Guatemala,Child marriage (%) 2005–2012* married by 18,30
Guatemala,Birth registration (%)+ 2005–2012* total,97
Guinea,Child labour (%)+ 2005–2012* total,40
Guinea,Child labour (%)+ 2005–2012* male,40
Guinea,Child labour (%)+ 2005–2012* female,40
Guinea,Child marriage (%) 2005–2012* married by 15,20
Guinea,Child marriage (%) 2005–2012* married by 18,63
Guinea,Birth registration (%)+ 2005–2012* total,43
Guinea,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,96
Guinea,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,57
Guinea,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,69
Guinea,Justification of wife beating (%)  2005–2012* female,86
Guinea-Bissau,Child labour (%)+ 2005–2012* total,38
Guinea-Bissau,Child labour (%)+ 2005–2012* male,40
Guinea-Bissau,Child labour (%)+ 2005–2012* female,36
Guinea-Bissau,Child marriage (%) 2005–2012* married by 15,7
Guinea-Bissau,Child marriage (%) 2005–2012* married by 18,22
Guinea-Bissau,Birth registration (%)+ 2005–2012* total,24
Guinea-Bissau,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,50
Guinea-Bissau,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,39
Guinea-Bissau,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,34
Guinea-Bissau,Justification of wife beating (%)  2005–2012* female,40
Guinea-Bissau,Violent discipline (%)+ 2005–2012* total,82
Guinea-Bissau,Violent discipline (%)+ 2005–2012* male,82
Guinea-Bissau,Violent discipline (%)+ 2005–2012* female,81
Guana,Child labour (%)+ 2005–2012* total,16
Guana,Child labour (%)+ 2005–2012* male,17
Guana,Child labour (%)+ 2005–2012* female,16
Guana,Child marriage (%) 2005–2012* married by 15,6
Guana,Child marriage (%) 2005–2012* married by 18,23
Guana,Birth registration (%)+ 2005–2012* total,88
Guana,Justification of wife beating (%)  2005–2012* male,19
Guana,Justification of wife beating (%)  2005–2012* female,16
Guana,Violent discipline (%)+ 2005–2012* total,76
Guana,Violent discipline (%)+ 2005–2012* male,79
Guana,Violent discipline (%)+ 2005–2012* female,74
Haiti,Child labour (%)+ 2005–2012* total,24
Haiti,Child labour (%)+ 2005–2012* male,25
Haiti,Child labour (%)+ 2005–2012* female,24
Haiti,Child marriage (%) 2005–2012* married by 15,3
Haiti,Child marriage (%) 2005–2012* married by 18,18
Haiti,Birth registration (%)+ 2005–2012* total,80
Haiti,Justification of wife beating (%)  2005–2012* male,15
Haiti,Justification of wife beating (%)  2005–2012* female,17
Haiti,Violent discipline (%)+ 2005–2012* total,86
Haiti,Violent discipline (%)+ 2005–2012* male,87
Haiti,Violent discipline (%)+ 2005–2012* female,85
Honduras,Child labour (%)+ 2005–2012* total,16
Honduras,Child labour (%)+ 2005–2012* male,16
Honduras,Child labour (%)+ 2005–2012* female,15
Honduras,Child marriage (%) 2005–2012* married by 15,8
Honduras,Child marriage (%) 2005–2012* married by 18,34
Honduras,Birth registration (%)+ 2005–2012* total,94
Honduras,Justification of wife beating (%)  2005–2012* male,10
Honduras,Justification of wife beating (%)  2005–2012* female,12
Iceland,Birth registration (%)+ 2005–2012* total,100
India,Child labour (%)+ 2005–2012* total,12
India,Child labour (%)+ 2005–2012* male,12
India,Child labour (%)+ 2005–2012* female,12
India,Child marriage (%) 2005–2012* married by 15,18
India,Child marriage (%) 2005–2012* married by 18,47
India,Birth registration (%)+ 2005–2012* total,41
India,Justification of wife beating (%)  2005–2012* male,51
India,Justification of wife beating (%)  2005–2012* female,54
Indonesia,Child labour (%)+ 2005–2012* total,7
Indonesia,Child labour (%)+ 2005–2012* male,8
Indonesia,Child labour (%)+ 2005–2012* female,6
Indonesia,Child marriage (%) 2005–2012* married by 15,3
Indonesia,Child marriage (%) 2005–2012* married by 18,17
Indonesia,Birth registration (%)+ 2005–2012* total,67
Indonesia,Justification of wife beating (%)  2005–2012* male,17
Indonesia,Justification of wife beating (%)  2005–2012* female,35
Iran (Islamic Republic of),Child labour (%)+ 2005–2012* total,11
Iran (Islamic Republic of),Child labour (%)+ 2005–2012* male,13
Iran (Islamic Republic of),Child labour (%)+ 2005–2012* female,10
Iran (Islamic Republic of),Child marriage (%) 2005–2012* married by 15,3
Iran (Islamic Republic of),Child marriage (%) 2005–2012* married by 18,17
Iran (Islamic Republic of),Birth registration (%)+ 2005–2012* total,99
Iraq,Child labour (%)+ 2005–2012* total,5
Iraq,Child labour (%)+ 2005–2012* male,5
Iraq,Child labour (%)+ 2005–2012* female,4
Iraq,Child marriage (%) 2005–2012* married by 15,5
Iraq,Child marriage (%) 2005–2012* married by 18,24
Iraq,Birth registration (%)+ 2005–2012* total,99
Iraq,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,8
Iraq,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,3
Iraq,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,5
Iraq,Justification of wife beating (%)  2005–2012* female,51
Iraq,Violent discipline (%)+ 2005–2012* total,79
Iraq,Violent discipline (%)+ 2005–2012* male,81
